player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Taylor Rochestie,E2019_167,16.966666666666665,5.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.6443298969072165
Amine Noua,E2019_166,10.633333333333333,8.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0309278350515465
Nikola Milutinov,E2019_167,25.216666666666665,8.0,2.0,5.0,0.0,0.0,4.0,5.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,0.5555555555555556
Georgios Printezis,E2019_167,18.716666666666665,15.0,4.0,6.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,19.0,0.7591093117408906
Augustine Rubit,E2019_167,23.633333333333333,16.0,5.0,10.0,1.0,2.0,3.0,3.0,3.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,21.0,0.6006006006006006
Alberto Abalde,E2019_164,24.25,8.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,0.5714285714285714
Peyton Siva,E2019_167,,,,,,,,,,,,,,,,,,,,
Marcus Eriksson,E2019_167,18.633333333333333,20.0,2.0,3.0,5.0,8.5,1.0,1.0,0.5,1.0,1.5,1.0,0.5,0.5,0.0,0.0,0.5,2.5,20.0,0.8334297281665702
Darrun Hilliard,E2019_163,23.95,5.5,0.5,5.5,0.5,2.5,3.0,3.5,2.0,2.5,4.5,1.5,0.0,2.0,0.0,1.0,4.0,3.0,0.0,0.2914365369731936
Jonas Mattisseck,E2019_167,16.833333333333332,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.5
Walter Tavares,E2019_163,14.566666666666666,3.5,1.5,2.0,0.0,0.0,0.5,1.0,1.0,5.5,6.5,0.0,1.0,0.0,3.0,0.0,4.5,1.0,9.5,0.6329787234042553
Jaycee Carroll,E2019_163,7.216666666666667,4.5,1.0,3.0,0.0,1.0,2.5,2.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,4.0,0.4594198790627362
Gabriel Deck,E2019_163,26.166666666666664,9.5,4.0,6.0,0.0,0.0,1.5,1.5,0.5,6.0,6.5,3.0,0.5,0.0,0.0,0.5,1.5,2.5,18.0,0.6254416961130742
Antonios Koniaris,E2019_167,14.183333333333334,7.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.7
Nicolas Laprovittola,E2019_163,,,,,,,,,,,,,,,,,,,,
Antoine Diot,E2019_166,19.65,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-4.0,0.0
David Lighty,E2019_166,25.116666666666667,18.0,4.0,8.0,3.0,6.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,4.0,1.0,10.0,0.6048387096774194
